Run,NumTrees,VarPerNode,ResubMatrix,TrainAcc,Importance,OOB_Error,Val_Acc
run_16,100,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 449, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 449, 0, 0, 0, 0, 0, 0, 1], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 448, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 446, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 2, 0, 1, 0, 445, 2], [0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 444]]",0.995111111,"{'b_d': 278.3936147273005, 'b_w': 275.735259426783, 'dsm': 305.1674057670081, 'g_d': 289.64631412221837, 'g_w': 284.00917907199414, 'ndvi_d': 295.3283522921565, 'ndvi_w': 275.93890380761644, 'ndwi_d': 299.0025888170249, 'ndwi_w': 270.05414916956926, 'nir_d': 311.1827603593182, 'nir_w': 297.5421938025869, 'r_d': 264.1254756144391, 'r_w': 293.59122714416196, 'slope': 245.02442357715123, 'swir1_d': 279.7905938172618, 'swir1_w': 271.9355962165391, 'swir2_d': 281.87715311244744, 'swir2_w': 294.598600826013, 'tpi_500': 244.88364586995334}",0.052888889,0.890666667
run_17,100,2,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 449, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 449, 0, 0, 0, 0, 0, 0, 1], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 445, 0, 0, 0, 3, 2], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 1, 448, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 1, 0, 1, 0, 446, 2], [0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 442]]",0.994666667,"{'b_d': 188.18687015543355, 'b_w': 212.51029254459746, 'dsm': 261.3149229357527, 'g_d': 207.77281763735454, 'g_w': 198.90275220990384, 'ndvi_d': 204.9247057761886, 'ndvi_w': 202.04005945663022, 'ndwi_d': 204.348935259956, 'ndwi_w': 198.6237660585703, 'nir_d': 224.66839852331435, 'nir_w': 225.57302736492716, 'r_d': 200.3161944680414, 'r_w': 220.88960719104412, 'slope': 170.60752229744713, 'swir1_d': 200.73622448928836, 'swir1_w': 213.64236584266746, 'swir2_d': 203.0961442670014, 'swir2_w': 202.4197862129973, 'tpi_500': 180.26202655478795}",0.045777778,0.900444444
run_18,100,3,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 448, 0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 450, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 445, 0, 0, 0, 3, 2], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 447, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 3, 0, 1, 0, 444, 2], [0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 442]]",0.994,"{'b_d': 178.1742414124324, 'b_w': 183.61004320243455, 'dsm': 240.54489976344308, 'g_d': 189.6663181109255, 'g_w': 174.5861657479145, 'ndvi_d': 171.4583612947009, 'ndvi_w': 171.17512638311092, 'ndwi_d': 181.80553031314494, 'ndwi_w': 165.91853022963193, 'nir_d': 206.5495030089137, 'nir_w': 222.44679341207248, 'r_d': 173.2253890137881, 'r_w': 173.10084611285524, 'slope': 137.89202015674383, 'swir1_d': 179.8557827153168, 'swir1_w': 185.3141495526805, 'swir2_d': 167.25316049635774, 'swir2_w': 177.04644671529024, 'tpi_500': 153.7162208597228}",0.042666667,0.900666667
run_19,100,4,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 448, 0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 450, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 445, 0, 0, 0, 4, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 1, 4, 0, 0, 1, 443, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 5, 0, 1, 0, 441, 3], [0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 441]]",0.992222222,"{'b_d': 152.01008133105017, 'b_w': 164.13452537285113, 'dsm': 228.4515091878475, 'g_d': 164.3222331084045, 'g_w': 148.05309122096838, 'ndvi_d': 161.9290163030131, 'ndvi_w': 152.29389343857585, 'ndwi_d': 159.93843763888273, 'ndwi_w': 144.08902410489728, 'nir_d': 195.41407838940523, 'nir_w': 179.28206875372956, 'r_d': 154.42172095799606, 'r_w': 161.60880888072637, 'slope': 135.3282212857398, 'swir1_d': 165.03475887905884, 'swir1_w': 175.50618805044365, 'swir2_d': 164.6064447206966, 'swir2_w': 156.26096464315887, 'tpi_500': 152.72228831314268}",0.045111111,0.897111111
run_20,100,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 448, 0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 449, 0, 0, 0, 0, 0, 0, 1], [0, 3, 0, 0, 447, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 445, 0, 0, 0, 4, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 1, 446, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 3, 0, 1, 0, 444, 2], [0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 440]]",0.992888889,"{'b_d': 158.6372828759256, 'b_w': 146.66003882089524, 'dsm': 235.12668307086113, 'g_d': 170.3620657890361, 'g_w': 137.88745950818864, 'ndvi_d': 142.6803278482823, 'ndvi_w': 140.37151095422567, 'ndwi_d': 139.33280512756684, 'ndwi_w': 139.8392509178217, 'nir_d': 186.96741960894676, 'nir_w': 176.87784948157724, 'r_d': 144.68542475246178, 'r_w': 153.0257092028323, 'slope': 113.77468966852314, 'swir1_d': 152.5337618593258, 'swir1_w': 154.3805020717254, 'swir2_d': 137.46159830139777, 'swir2_w': 136.38358444688802, 'tpi_500': 148.4025901870126}",0.044444444,0.894222222
