VarNode,tree_1,tree_25,tree_50,tree_100,tree_200,tree_300,tree_400,tree_500
1,0.848222222,0.988,0.990222222,0.990666667,0.991555556,0.992444444,0.992666667,0.992222222
2,0.882444444,0.985555556,0.987111111,0.989555556,0.989777778,0.99,0.991777778,0.991333333
3,0.882,0.988666667,0.989333333,0.989777778,0.989777778,0.990444444,0.990666667,0.990444444
4,0.873111111,0.987111111,0.987555556,0.988666667,0.99,0.989333333,0.989777778,0.990444444
5,0.895333333,0.986666667,0.987777778,0.987555556,0.988444444,0.989333333,0.989111111,0.989555556
