Run,NumTrees,VarPerNode,ResubMatrix,TrainAcc,Importance,OOB_Error,Val_Acc
run_6,25,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 447, 0, 2, 0, 0, 0, 0, 0, 0, 1], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 444, 0, 0, 0, 1, 0, 1, 2], [0, 3, 0, 0, 447, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 446, 0, 0, 0, 1, 3], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0, 442, 0, 3, 1], [0, 0, 0, 0, 0, 0, 1, 1, 448, 0, 0], [0, 0, 0, 0, 0, 4, 0, 3, 0, 441, 2], [0, 8, 1, 0, 0, 2, 0, 1, 0, 1, 437]]",0.989333333,"{'b_d': 72.08681580742925, 'b_w': 63.77419130469655, 'dsm': 73.87021728235442, 'g_d': 70.84640018984724, 'g_w': 70.83134892098471, 'ndvi_d': 71.20288634884425, 'ndvi_w': 71.9097078700553, 'ndwi_d': 71.60447077669431, 'ndwi_w': 71.70074465106154, 'nir_d': 82.99953707707772, 'nir_w': 78.86634569418123, 'r_d': 66.46065863391856, 'r_w': 69.15928838519196, 'slope': 55.378651939679784, 'swir1_d': 68.29323381884846, 'swir1_w': 67.88552310907957, 'swir2_d': 70.69730739234056, 'swir2_w': 77.0812163791134, 'tpi_500': 72.12083021674317}",0.064666667,0.877777778
run_7,25,2,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 448, 0, 1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 447, 0, 0, 0, 0, 0, 0, 2], [0, 3, 0, 0, 447, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 447, 0, 0, 0, 1, 2], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 4, 0, 0, 1, 444, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 2, 448, 0, 0], [0, 0, 0, 0, 0, 5, 0, 2, 0, 441, 2], [0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 441]]",0.991777778,"{'b_d': 45.76277683263557, 'b_w': 48.95914719859571, 'dsm': 63.99208008032659, 'g_d': 50.508661365166866, 'g_w': 48.06009852823961, 'ndvi_d': 47.66784116103649, 'ndvi_w': 50.95297220967119, 'ndwi_d': 49.48336165594366, 'ndwi_w': 45.50387080603848, 'nir_d': 57.122149958549535, 'nir_w': 59.27824973021987, 'r_d': 48.735902568461995, 'r_w': 54.68367066294545, 'slope': 44.79830094478631, 'swir1_d': 54.8810840825264, 'swir1_w': 55.501733236011155, 'swir2_d': 47.362380825104566, 'swir2_w': 51.903410565444105, 'tpi_500': 48.60710095426937}",0.050666667,0.896888889
run_8,25,3,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 447, 0, 3, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 448, 1, 0, 0, 0, 0, 1, 0], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 445, 0, 0, 0, 3, 2], [0, 0, 0, 0, 0, 0, 449, 1, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0, 446, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 2, 448, 0, 0], [0, 0, 0, 0, 0, 8, 0, 2, 0, 438, 2], [0, 10, 0, 1, 0, 0, 0, 1, 0, 2, 436]]",0.99,"{'b_d': 50.68332378045202, 'b_w': 46.717259086917075, 'dsm': 60.742345594738595, 'g_d': 44.8421817298188, 'g_w': 44.74975929944175, 'ndvi_d': 49.26017925250627, 'ndvi_w': 44.41807022148798, 'ndwi_d': 46.44392742790782, 'ndwi_w': 41.12490148060837, 'nir_d': 56.21541878860393, 'nir_w': 52.98361515333775, 'r_d': 45.887421174065736, 'r_w': 41.036461194039305, 'slope': 36.080719427509756, 'swir1_d': 50.55953020236782, 'swir1_w': 43.672115178047804, 'swir2_d': 34.844233002940655, 'swir2_w': 45.0166195250146, 'tpi_500': 40.410792800668034}",0.053777778,0.882222222
run_9,25,4,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 448, 0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 448, 0, 0, 0, 0, 0, 1, 0], [0, 3, 0, 0, 447, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 448, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 449, 1, 0, 0, 0], [0, 0, 1, 5, 0, 0, 1, 443, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 6, 0, 4, 0, 438, 2], [0, 8, 1, 0, 0, 0, 0, 0, 0, 3, 438]]",0.990666667,"{'b_d': 40.616226797208384, 'b_w': 41.7484310236426, 'dsm': 54.88075784983423, 'g_d': 42.08558215008871, 'g_w': 32.155691500625366, 'ndvi_d': 43.38713077118766, 'ndvi_w': 38.9942166863213, 'ndwi_d': 32.544970210648835, 'ndwi_w': 29.09152798756422, 'nir_d': 53.4367978601879, 'nir_w': 48.85092003172756, 'r_d': 39.93613679992428, 'r_w': 36.48877377458317, 'slope': 26.788005673948152, 'swir1_d': 35.5065228357519, 'swir1_w': 41.121100039566755, 'swir2_d': 41.59188285604152, 'swir2_w': 39.625995416577425, 'tpi_500': 36.61199109971239}",0.051111111,0.888
run_10,25,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 445, 0, 4, 1, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 447, 0, 0, 0, 0, 0, 1, 1], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 446, 0, 0, 0, 2, 2], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 2, 1, 0, 0, 2, 444, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 5, 0, 3, 0, 440, 2], [0, 8, 0, 2, 0, 0, 0, 0, 0, 2, 438]]",0.990444444,"{'b_d': 38.10334528219084, 'b_w': 34.271350322796366, 'dsm': 60.05744371515268, 'g_d': 40.694351808303985, 'g_w': 34.360123919180005, 'ndvi_d': 35.23794942744145, 'ndvi_w': 38.42003465617972, 'ndwi_d': 32.66721870859384, 'ndwi_w': 32.13421676604237, 'nir_d': 45.5728544511006, 'nir_w': 45.115226825867346, 'r_d': 37.0049845691877, 'r_w': 31.92789776498925, 'slope': 29.894446750753612, 'swir1_d': 39.406132758464096, 'swir1_w': 34.35967072014428, 'swir2_d': 32.763797898575895, 'swir2_w': 30.195135685982017, 'tpi_500': 38.9924740561}",0.047555556,0.889333333
