trees,var1,var2,var3,var4,var5
1,0.226578073,0.175747508,0.17641196,0.189700997,0.156478405
25,0.085555556,0.064666667,0.063555556,0.057111111,0.059333333
50,0.071111111,0.059555556,0.058888889,0.054666667,0.056888889
100,0.064666667,0.055555556,0.053777778,0.053111111,0.053111111
200,0.064666667,0.056444444,0.053777778,0.052444444,0.054222222
300,0.062666667,0.055555556,0.053333333,0.052,0.052444444
400,0.063111111,0.056444444,0.053777778,0.051555556,0.052
500,0.063333333,0.055333333,0.053333333,0.051555556,0.051333333
