Run,NumTrees,VarPerNode,ResubMatrix,TrainAcc,Importance,OOB_Error,Val_Acc
run_11,50,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 446, 0, 3, 0, 0, 0, 0, 0, 0, 1], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 449, 0, 0, 0, 0, 0, 0, 1], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 448, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 447, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 4, 0, 1, 0, 444, 1], [0, 6, 2, 0, 0, 0, 0, 0, 0, 1, 441]]",0.993777778,"{'b_d': 137.85174757209492, 'b_w': 140.19242593110448, 'dsm': 155.82760409703852, 'g_d': 143.2841972994874, 'g_w': 140.47301068925933, 'ndvi_d': 141.05278092559686, 'ndvi_w': 136.17230054758528, 'ndwi_d': 143.6378028408877, 'ndwi_w': 141.91426190293132, 'nir_d': 160.1914073458902, 'nir_w': 151.21142495141197, 'r_d': 128.1101332701024, 'r_w': 140.5716573446929, 'slope': 119.95718192779059, 'swir1_d': 133.12169404946056, 'swir1_w': 145.73331619936832, 'swir2_d': 140.65893934150745, 'swir2_w': 150.1385618073577, 'tpi_500': 126.57368699850619}",0.056,0.889777778
run_12,50,2,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 448, 0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 449, 0, 0, 0, 0, 0, 0, 1], [0, 3, 0, 0, 447, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 446, 0, 0, 0, 2, 2], [0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0], [0, 0, 1, 2, 0, 0, 1, 446, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 2, 448, 0, 0], [0, 0, 0, 0, 0, 1, 0, 1, 0, 446, 2], [0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 443]]",0.994,"{'b_d': 92.13848591973645, 'b_w': 111.48484004735879, 'dsm': 136.37973766333292, 'g_d': 105.81602106015966, 'g_w': 102.75533379051811, 'ndvi_d': 90.51969027967328, 'ndvi_w': 100.77981782872739, 'ndwi_d': 98.365057346275, 'ndwi_w': 96.84454979233952, 'nir_d': 115.9679214436621, 'nir_w': 108.29129707656763, 'r_d': 94.25565230791693, 'r_w': 107.87372401421327, 'slope': 86.65606622992254, 'swir1_d': 99.0413784991181, 'swir1_w': 110.34422243138994, 'swir2_d': 102.39737049329558, 'swir2_w': 103.94652504744649, 'tpi_500': 87.9177335374062}",0.046222222,0.904888889
run_13,50,3,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 447, 0, 2, 0, 0, 0, 1, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 448, 0, 0, 0, 0, 0, 0, 1], [0, 2, 0, 0, 448, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 447, 0, 0, 0, 2, 1], [0, 0, 0, 0, 0, 0, 449, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 448, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 3, 0, 2, 0, 443, 2], [0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 440]]",0.993111111,"{'b_d': 94.08372853279035, 'b_w': 93.87115223554076, 'dsm': 125.84678377689276, 'g_d': 88.49099284254176, 'g_w': 86.27667958903758, 'ndvi_d': 85.08164229474798, 'ndvi_w': 83.69000720993705, 'ndwi_d': 92.4952149145806, 'ndwi_w': 82.08226893703397, 'nir_d': 105.07804530753151, 'nir_w': 109.2329482741797, 'r_d': 85.92999123646953, 'r_w': 86.61729880814393, 'slope': 69.57388230572174, 'swir1_d': 94.24287181925148, 'swir1_w': 92.19041501666271, 'swir2_d': 82.40633858166824, 'swir2_w': 90.71949740500803, 'tpi_500': 74.0214116530258}",0.046666667,0.895777778
run_14,50,4,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 447, 0, 3, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 447, 0, 0, 0, 0, 0, 1, 0], [0, 3, 0, 0, 447, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 446, 0, 0, 0, 3, 1], [0, 0, 0, 0, 0, 0, 449, 1, 0, 0, 0], [0, 0, 1, 4, 0, 0, 1, 444, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 4, 0, 2, 0, 442, 2], [0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 441]]",0.991555556,"{'b_d': 78.08212274090128, 'b_w': 82.31350867632513, 'dsm': 109.75517589487792, 'g_d': 83.67974940107587, 'g_w': 64.72310417266497, 'ndvi_d': 82.2338403586645, 'ndvi_w': 70.88033233416506, 'ndwi_d': 80.37976845155328, 'ndwi_w': 68.86497113038692, 'nir_d': 107.32970945441767, 'nir_w': 90.10215928626329, 'r_d': 75.66204420334739, 'r_w': 73.5545132707993, 'slope': 64.0241107316592, 'swir1_d': 74.17841217680987, 'swir1_w': 85.8822180165033, 'swir2_d': 82.1679286532983, 'swir2_w': 78.15408651432813, 'tpi_500': 74.26083064460306}",0.046888889,0.895111111
run_15,50,5,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 448, 0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 449, 0, 0, 0, 0, 0, 1, 0], [0, 3, 0, 0, 447, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 447, 0, 0, 0, 2, 1], [0, 0, 0, 0, 0, 0, 449, 1, 0, 0, 0], [0, 0, 1, 1, 0, 0, 2, 445, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 449, 0, 0], [0, 0, 0, 0, 0, 4, 0, 2, 0, 442, 2], [0, 8, 0, 1, 0, 0, 0, 0, 0, 2, 439]]",0.992222222,"{'b_d': 80.96649537563363, 'b_w': 70.8064600646969, 'dsm': 121.41609522893125, 'g_d': 82.94519438931952, 'g_w': 66.40917673480777, 'ndvi_d': 69.68387652546164, 'ndvi_w': 78.03364013443746, 'ndwi_d': 62.43404972082362, 'ndwi_w': 73.50995317175348, 'nir_d': 96.70554832773436, 'nir_w': 86.06768015203997, 'r_d': 73.17798437334879, 'r_w': 69.18450127198805, 'slope': 53.74331418295066, 'swir1_d': 76.53848111748951, 'swir1_w': 74.10607424029024, 'swir2_d': 68.08345992754529, 'swir2_w': 65.47365179730286, 'tpi_500': 78.59608809736837}",0.043333333,0.893333333
